Canton ID,Canton,Type of tax,Taxable entity,Tax authority,Taxable income for federal tax,Additional %,Base amount CHF,Tax rate,For the next CHF,Formula
5,SZ,Income tax,Single,Canton,,3.5,,,10500,
5,SZ,Income tax,Single,Canton,,3.65,,,8400,
5,SZ,Income tax,Single,Canton,,3.9,,,175100,
5,SZ,Income tax,Single,Canton,,7,,,155500,
5,SZ,Income tax,Single,Canton,,5,,,999999999,
5,SZ,Income tax,Married,Commune,,0.25,,,1300,
5,SZ,Income tax,Married,Commune,,0.5,,,1100,
5,SZ,Income tax,Married,Commune,,0.75,,,1000,
5,SZ,Income tax,Married,Commune,,1,,,900,
5,SZ,Income tax,Married,Commune,,1.25,,,900,
5,SZ,Income tax,Married,Commune,,1.5,,,1000,
5,SZ,Income tax,Married,Commune,,1.75,,,1100,
5,SZ,Income tax,Married,Commune,,2,,,1600,
5,SZ,Income tax,Married,Commune,,2.25,,,2100,
5,SZ,Income tax,Married,Commune,,2.5,,,3200,
5,SZ,Income tax,Married,Commune,,2.75,,,5300,
5,SZ,Income tax,Married,Commune,,3,,,7400,
5,SZ,Income tax,Married,Commune,,3.25,,,9500,
5,SZ,Income tax,Married,Commune,,3.5,,,10500,
5,SZ,Income tax,Married,Commune,,3.65,,,8400,
5,SZ,Income tax,Married,Commune,,3.9,,,175100,
5,SZ,Income tax,Married,Commune,,3.65,,,999999999,
5,SZ,Income tax,Single,Commune,,0.25,,,1300,
5,SZ,Income tax,Single,Commune,,0.5,,,1100,
5,SZ,Income tax,Single,Commune,,0.75,,,1000,
5,SZ,Income tax,Single,Commune,,1,,,900,
5,SZ,Income tax,Single,Commune,,1.25,,,900,
5,SZ,Income tax,Single,Commune,,1.5,,,1000,
5,SZ,Income tax,Single,Commune,,1.75,,,1100,
5,SZ,Income tax,Single,Commune,,2,,,1600,
5,SZ,Income tax,Single,Commune,,2.25,,,2100,
5,SZ,Income tax,Single,Commune,,2.5,,,3200,
5,SZ,Income tax,Single,Commune,,2.75,,,5300,
5,SZ,Income tax,Single,Commune,,3,,,7400,
5,SZ,Income tax,Single,Commune,,3.25,,,9500,
5,SZ,Income tax,Single,Commune,,3.5,,,10500,
5,SZ,Income tax,Single,Commune,,3.65,,,8400,
5,SZ,Income tax,Single,Commune,,3.9,,,175100,
5,SZ,Income tax,Single,Commune,,3.65,,,999999999,
6,OW,Income tax,All,Canton,,,,1.8,,
7,NW,Income tax,All,Canton,,0,,,11200,
7,NW,Income tax,All,Canton,,0.5,,,2300,
7,NW,Income tax,All,Canton,,1,,,1100,
7,NW,Income tax,All,Canton,,1.2,,,1100,
7,NW,Income tax,All,Canton,,1.4,,,1100,
7,NW,Income tax,All,Canton,,1.6,,,1100,
7,NW,Income tax,All,Canton,,1.8,,,1100,
7,NW,Income tax,All,Canton,,2,,,1100,
7,NW,Income tax,All,Canton,,2.2,,,1100,
7,NW,Income tax,All,Canton,,2.4,,,1100,
7,NW,Income tax,All,Canton,,2.6,,,1100,
7,NW,Income tax,All,Canton,,2.8,,,7800,
7,NW,Income tax,All,Canton,,2.9,,,16800,
7,NW,Income tax,All,Canton,,3,,,30200,
7,NW,Income tax,All,Canton,,3.1,,,33600,
7,NW,Income tax,All,Canton,,3.2,,,31800,
7,NW,Income tax,All,Canton,,3.3,,,16700,
7,NW,Income tax,All,Canton,,2.75,,,999999999,
8,GL,Income tax,All,Canton,0,0,0,,,
8,GL,Income tax,All,Canton,10300,8,0,,,
8,GL,Income tax,All,Canton,20600,11,824,,,
8,GL,Income tax,All,Canton,30900,13,1957,,,
8,GL,Income tax,All,Canton,51500,15,4635,,,
8,GL,Income tax,All,Canton,103100,16,12372,,,
8,GL,Income tax,All,Canton,154600,17.5,20613.33,,,
8,GL,Income tax,All,Canton,257700,19,38655,,,
8,GL,Income tax,All,Canton,412400,21,68046,,,
8,GL,Income tax,All,Canton,463900,17,78863,,,
9,ZG,Income tax,"Single, no children",Canton,0,0.5,0,,,
9,ZG,Income tax,"Single, no children",Canton,1100,1,5.5,,,
9,ZG,Income tax,"Single, no children",Canton,3300,2,27.5,,,
9,ZG,Income tax,"Single, no children",Canton,6100,3,83.5,,,
9,ZG,Income tax,"Single, no children",Canton,10100,3.25,203.5,,,
9,ZG,Income tax,"Single, no children",Canton,15300,3.5,372.5,,,
9,ZG,Income tax,"Single, no children",Canton,21100,4,575.5,,,
9,ZG,Income tax,"Single, no children",Canton,26900,4.5,807.5,,,
9,ZG,Income tax,"Single, no children",Canton,34900,5.5,1167.5,,,
9,ZG,Income tax,"Single, no children",Canton,46400,5.5,1800,,,
9,ZG,Income tax,"Single, no children",Canton,59700,6.5,2531.5,,,
9,ZG,Income tax,"Single, no children",Canton,74700,8,3506.5,,,
9,ZG,Income tax,"Single, no children",Canton,94800,10,5114.5,,,
9,ZG,Income tax,"Single, no children",Canton,120100,9,7644.5,,,
9,ZG,Income tax,"Single, no children",Canton,149900,8,10326.5,,,
9,ZG,Income tax,"Married/Single, with children",Canton,0,0.5,0,,,
9,ZG,Income tax,"Married/Single, with children",Canton,2200,1,11,,,
9,ZG,Income tax,"Married/Single, with children",Canton,6600,2,55,,,
9,ZG,Income tax,"Married/Single, with children",Canton,12200,3,167,,,
9,ZG,Income tax,"Married/Single, with children",Canton,20200,3.25,407,,,
9,ZG,Income tax,"Married/Single, with children",Canton,30600,3.5,745,,,
9,ZG,Income tax,"Married/Single, with children",Canton,42200,4,1151,,,
9,ZG,Income tax,"Married/Single, with children",Canton,53800,4.5,1615,,,
9,ZG,Income tax,"Married/Single, with children",Canton,69800,5.5,2335,,,
9,ZG,Income tax,"Married/Single, with children",Canton,92800,5.5,3600,,,
9,ZG,Income tax,"Married/Single, with children",Canton,119400,6.5,5063,,,
9,ZG,Income tax,"Married/Single, with children",Canton,149400,8,7013,,,
9,ZG,Income tax,"Married/Single, with children",Canton,189600,10,10229,,,
9,ZG,Income tax,"Married/Single, with children",Canton,240200,9,15289,,,
9,ZG,Income tax,"Married/Single, with children",Canton,299800,8,20653,,,
