"Canton ID",Canton,"SFO Commune ID",Commune,Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,Church,Canton,Commune,Church
1,ZH,59,Hochfelden,98,116,10,11,14,98,116,10,11,14,98,126.41,0,98,126.41,0
1,ZH,153,Hombrechtikon,98,113,11,13,14,98,113,11,13,14,98,124.92,0,98,124.92,0
1,ZH,295,Horgen,98,90,10,7,14,98,90,10,7,14,98,98.47,0,98,98.47,0
1,ZH,60,Höri,98,110,10,11,14,98,110,10,11,14,98,120.56,0,98,120.56,0
1,ZH,61,Hüntwangen,98,108,14,13,14,98,108,14,13,14,98,121.69,0,98,121.69,0
1,ZH,87,Hüttikon,98,113,13,10,14,98,113,13,10,14,98,124.47,0,98,124.47,0
1,ZH,296,Illnau-Effretikon,98,113,13,13,14,98,113,13,13,14,98,126,0,98,126,0
1,ZH,6,"Kappel am Albis",98,102,14,14,14,98,102,14,14,14,98,116,0,98,116,0
1,ZH,135,"Kilchberg (ZH)",98,72,8,6,14,98,72,8,6,14,98,79.06,0,98,79.06,0
1,ZH,33,Kleinandelfingen,98,116,12,14,14,98,116,12,14,14,98,128.54,0,98,128.54,0
1,ZH,62,Kloten,98,100,9,9,14,98,100,9,9,14,98,109,0,98,109,0
1,ZH,7,Knonau,98,116,14,14,14,98,116,14,14,14,98,130,0,98,130,0
1,ZH,154,"Küsnacht (ZH)",98,73,7,7,14,98,73,7,7,14,98,80,0,98,80,0
1,ZH,136,"Langnau am Albis",98,106,10,13,14,98,106,10,13,14,98,117.59,0,98,117.59,0
1,ZH,34,Laufen-Uhwiesen,98,104,12,14,14,98,104,12,14,14,98,116.58,0,98,116.58,0
1,ZH,176,Lindau,98,106,12,13,14,98,106,12,13,14,98,118.41,0,98,118.41,0
1,ZH,63,Lufingen,98,92,12,13,14,98,92,12,13,14,98,104.48,0,98,104.48,0
1,ZH,35,Marthalen,98,107,14,14,14,98,107,14,14,14,98,121,0,98,121,0
1,ZH,8,Maschwanden,98,129,12,14,14,98,129,12,14,14,98,141.72,0,98,141.72,0
1,ZH,195,Maur,98,85,9,9,14,98,85,9,9,14,98,94,0,98,94,0
1,ZH,156,Meilen,98,79,9,7,14,98,79,9,7,14,98,87.16,0,98,87.16,0
1,ZH,9,Mettmenstetten,98,98,12,14,14,98,98,12,14,14,98,110.84,0,98,110.84,0
1,ZH,155,Männedorf,98,91,11,11,14,98,91,11,11,14,98,102,0,98,102,0
1,ZH,196,Mönchaltorf,98,108,13,9,14,98,108,13,9,14,98,119.52,0,98,119.52,0
1,ZH,88,Neerach,98,77,12,10,14,98,77,12,10,14,98,88.28,0,98,88.28,0
1,ZH,223,Neftenbach,98,102,10,13,14,98,102,10,13,14,98,112.9,0,98,112.9,0
1,ZH,89,Niederglatt,98,106,13,10,14,98,106,13,10,14,98,117.53,0,98,117.53,0
1,ZH,90,Niederhasli,98,112,13,10,14,98,112,13,10,14,98,123.53,0,98,123.53,0
1,ZH,91,Niederweningen,98,102,10,10,14,98,102,10,10,14,98,112,0,98,112,0
1,ZH,64,Nürensdorf,98,90,12,9,14,98,90,12,9,14,98,100.77,0,98,100.77,0
1,ZH,65,Oberembrach,98,122,12,13,14,98,122,12,13,14,98,134.27,0,98,134.27,0
1,ZH,245,Oberengstringen,98,109,10,13,14,98,109,10,13,14,98,120.74,0,98,120.74,0
1,ZH,92,Oberglatt,98,117,13,10,14,98,117,13,10,14,98,128.2,0,98,128.2,0
1,ZH,137,Oberrieden,98,84,12,11,14,98,84,12,11,14,98,95.58,0,98,95.58,0
1,ZH,93,Oberweningen,98,96,10,10,14,98,96,10,10,14,98,106,0,98,106,0
1,ZH,10,Obfelden,98,119,12,13,14,98,119,12,13,14,98,131.48,0,98,131.48,0
1,ZH,157,"Oetwil am See",98,116,14,9,14,98,116,14,9,14,98,127.55,0,98,127.55,0
1,ZH,246,"Oetwil an der Limmat",98,107,11,9,14,98,107,11,9,14,98,116.94,0,98,116.94,0
1,ZH,66,Opfikon,98,94,8,7,14,98,94,8,7,14,98,101.34,0,98,101.34,0
1,ZH,37,Ossingen,98,99,14,14,14,98,99,14,14,14,98,113,0,98,113,0
1,ZH,94,Otelfingen,98,112,13,10,14,98,112,13,10,14,98,123.44,0,98,123.44,0
1,ZH,11,Ottenbach,98,115,12,13,14,98,115,12,13,14,98,127.43,0,98,127.43,0
1,ZH,224,Pfungen,98,117,12,13,14,98,117,12,13,14,98,129.41,0,98,129.41,0
1,ZH,177,Pfäffikon,98,110,12,11,14,98,110,12,11,14,98,121.63,0,98,121.63,0
1,ZH,67,Rafz,98,113,14,13,14,98,113,14,13,14,98,126.63,0,98,126.63,0
1,ZH,95,Regensberg,98,110,14,10,14,98,110,14,10,14,98,123.2,0,98,123.2,0
1,ZH,96,Regensdorf,98,117,11,10,14,98,117,11,10,14,98,127.44,0,98,127.44,0
1,ZH,38,Rheinau,98,112,14,14,14,98,112,14,14,14,98,126,0,98,126,0
1,ZH,138,Richterswil,98,99,12,14,14,98,99,12,14,14,98,111.98,0,98,111.98,0
1,ZH,225,"Rickenbach (ZH)",98,108,12,13,14,98,108,12,13,14,98,120.32,0,98,120.32,0
1,ZH,12,Rifferswil,98,122,12,14,14,98,122,12,14,14,98,134.6,0,98,134.6,0
1,ZH,68,Rorbas,98,103,14,13,14,98,103,14,13,14,98,116.57,0,98,116.57,0
1,ZH,178,Russikon,98,113,12,11,14,98,113,12,11,14,98,124.67,0,98,124.67,0
1,ZH,97,Rümlang,98,109,14,14,14,98,109,14,14,14,98,123,0,98,123,0
1,ZH,139,Rüschlikon,98,75,10,10,14,98,75,10,10,14,98,85,0,98,85,0
1,ZH,118,"Rüti (ZH)",98,119,14,12,14,98,119,14,12,14,98,131.94,0,98,131.94,0
1,ZH,226,"Schlatt (ZH)",98,125,14,12,14,98,125,14,12,14,98,138.64,0,98,138.64,0
1,ZH,98,Schleinikon,98,108,10,10,14,98,108,10,10,14,98,118,0,98,118,0
1,ZH,247,Schlieren,98,111,11,10,14,98,111,11,10,14,98,121.28,0,98,121.28,0
1,ZH,197,Schwerzenbach,98,104,11,11,14,98,104,11,11,14,98,115,0,98,115,0
1,ZH,99,Schöfflisdorf,98,99,10,10,14,98,99,10,10,14,98,109,0,98,109,0
1,ZH,119,Seegräben,98,111,12,14,14,98,111,12,14,14,98,123.68,0,98,123.68,0
1,ZH,227,Seuzach,98,100,12,13,14,98,100,12,13,14,98,112.38,0,98,112.38,0
1,ZH,100,Stadel,98,113,14,13,14,98,113,14,13,14,98,126.72,0,98,126.72,0
